Lines,Lon,VehicleNumber,Time,Lat,Brigade,Zespol,Slupek
213,21.102309,1000,2024-01-18 12:07:48,52.2228011,1,2148,04
213,21.1887935,1001,2024-01-18 12:13:44,52.1498486,4,2057,03
213,21.2326716,1001,2024-01-18 12:38:05,52.1763636,4,2376,02
219,21.1412788,1003,2024-01-18 12:05:41,52.1902285,2,2194,04
219,21.1608981,1004,2024-01-18 12:41:59,52.1852198,3,2422,02
213,21.188808,1006,2024-01-18 11:45:30,52.149863,3,2057,03
213,21.188808,1006,2024-01-18 11:47:31,52.149863,3,2057,03
213,21.188808,1006,2024-01-18 11:48:31,52.149863,3,2057,03
213,21.188808,1006,2024-01-18 11:49:32,52.149863,3,2057,03
213,21.188808,1006,2024-01-18 11:50:32,52.149863,3,2057,03
213,21.1079208,1006,2024-01-18 12:31:59,52.2124391,3,2385,01
213,21.1023415,1007,2024-01-18 12:19:47,52.222805,2,2148,04
L-8,20.9315941,10071,2024-01-18 12:37:01,52.3942426,1,1302,01
L31,21.0346306,10072,2024-01-18 12:36:59,52.4202441,1,1513,01
L31,21.0346081,10072,2024-01-18 12:38:06,52.4202381,1,1513,01
L31,21.0346228,10072,2024-01-18 12:39:02,52.4202436,1,1513,01
L31,21.0346308,10072,2024-01-18 12:42:02,52.4202256,1,1513,01
L49,20.941617,10073,2024-01-18 12:32:58,52.3681523,1,1479,02
311,21.0973598,1008,2024-01-18 11:54:41,52.2212126,501,2269,01
311,21.0897418,1008,2024-01-18 12:06:34,52.2311065,501,2417,01
311,21.0734295,1008,2024-01-18 12:32:06,52.2545143,501,2477,02
311,21.0734216,1008,2024-01-18 12:33:01,52.2545098,501,2477,02
311,21.0734003,1008,2024-01-18 12:35:01,52.2545138,501,2477,02
311,21.0734163,1008,2024-01-18 12:36:06,52.2545096,501,2477,02
311,21.0734285,1008,2024-01-18 12:38:11,52.2545095,501,2477,02
311,21.086199,1010,2024-01-18 11:56:38,52.2355516,502,2101,03
311,21.0942493,1010,2024-01-18 12:34:01,52.2280801,502,2149,02
311,21.0942205,1010,2024-01-18 12:36:06,52.2312306,502,2418,01
213,21.2201483,1012,2024-01-18 12:34:56,52.1573516,5,2164,02
311,21.0734153,1013,2024-01-18 11:58:40,52.2545118,503,2477,02
311,21.0734066,1013,2024-01-18 12:01:35,52.2544896,503,2477,02
311,21.073415,1013,2024-01-18 12:04:45,52.2544956,503,2477,02
311,21.073397,1013,2024-01-18 12:06:40,52.2544958,503,2477,02
311,21.0734028,1013,2024-01-18 12:07:45,52.2545103,503,2477,02
311,21.0734155,1013,2024-01-18 12:08:45,52.2545095,503,2477,02
108,21.062662,1030,2024-01-18 12:28:56,52.1861524,5,3064,04
204,21.030995,1047,2024-01-18 12:25:58,52.2935217,03,1085,13
204,21.030995,1047,2024-01-18 12:27:01,52.2935217,03,1085,13
204,21.030995,1047,2024-01-18 12:28:52,52.2935217,03,1085,13
204,21.030995,1047,2024-01-18 12:30:43,52.2935217,03,1085,13
204,21.030995,1047,2024-01-18 12:32:02,52.2935217,03,1085,13
204,21.030995,1047,2024-01-18 12:32:49,52.2935217,03,1085,13
204,21.030995,1047,2024-01-18 12:33:53,52.2935217,03,1085,13
204,21.030995,1047,2024-01-18 12:34:56,52.2935217,03,1085,13
204,21.030995,1047,2024-01-18 12:35:59,52.2935217,03,1085,13
204,21.030995,1047,2024-01-18 12:36:48,52.2935217,03,1085,13
204,21.030995,1047,2024-01-18 12:38:07,52.2935217,03,1085,13
204,21.030995,1047,2024-01-18 12:38:53,52.2935217,03,1085,13
208,20.975576,1053,2024-01-18 11:48:33,52.210301,2,4005,10
208,20.975568,1053,2024-01-18 11:49:33,52.210293,2,4005,10
208,20.975561,1053,2024-01-18 11:56:33,52.210288,2,4005,10
108,21.023487,1062,2024-01-18 12:30:57,52.228336,1,7040,06
107,21.005865,1065,2024-01-18 12:28:56,52.238655,6,7015,01
108,21.042965,1066,2024-01-18 12:01:31,52.175648,3,3039,04
108,21.0459257,1071,2024-01-18 12:27:01,52.2151884,399,7073,01
107,21.046384,1075,2024-01-18 12:05:40,52.1994975,9,3088,02
123,21.0500175,1118,2024-01-18 11:53:38,52.253012,6,1028,11
123,21.0853481,1118,2024-01-18 12:14:52,52.2230075,6,2252,02
123,21.1017845,1118,2024-01-18 12:18:55,52.2234935,6,2148,08
L48,21.2846673,11201,2024-01-18 12:28:55,52.22076,1,2305,04
L27,21.1977668,11202,2024-01-18 12:36:04,52.3486675,1,1709,01
L27,21.2146006,11202,2024-01-18 12:41:58,52.3401338,1,1710,02
251,21.1166779,1200,2024-01-18 12:28:56,52.0966871,65,3193,02
106,21.0173006,1201,2024-01-18 12:00:40,52.2392022,2,7044,02
263,21.041691,1203,2024-01-18 12:19:55,52.148277,2,3139,02
218,21.0242135,1209,2024-01-18 12:01:37,52.1798416,1,3009,17
166,21.0682581,1212,2024-01-18 12:30:58,52.129222,6,3400,04
166,21.0682749,1212,2024-01-18 12:32:04,52.1292179,6,3400,04
166,21.0682647,1212,2024-01-18 12:32:58,52.1292202,6,3400,04
166,21.0682547,1212,2024-01-18 12:34:05,52.1292365,6,3400,04
166,21.0682542,1212,2024-01-18 12:36:07,52.1292431,6,3400,04
166,21.0682732,1212,2024-01-18 12:37:01,52.1292337,6,3400,04
166,21.0682589,1212,2024-01-18 12:38:08,52.1292239,6,3400,04
166,21.0682534,1212,2024-01-18 12:39:03,52.1292327,6,3400,04
166,21.0682512,1212,2024-01-18 12:40:08,52.1292385,6,3400,04
166,21.0682731,1212,2024-01-18 12:41:58,52.1292192,6,3400,04
263,21.094385,1216,2024-01-18 12:23:01,52.185802,1,3318,01
263,21.060266,1216,2024-01-18 12:34:03,52.184605,1,3092,02
251,21.1028845,1221,2024-01-18 11:55:43,52.1232907,64,3050,04
263,21.108995,1223,2024-01-18 11:50:33,52.164631,3,3150,02
263,21.109005,1223,2024-01-18 12:36:05,52.164646,3,3150,02
240,21.0546861,1400,2024-01-18 11:49:33,52.2962933,1,1319,01
240,21.1190333,1400,2024-01-18 12:21:52,52.3382421,1,1240,03
240,21.1190211,1400,2024-01-18 12:22:57,52.3382673,1,1240,03
146,21.204591,1411,2024-01-18 12:17:45,52.159466,2,2052,04
146,21.204591,1411,2024-01-18 12:18:46,52.159466,2,2052,04
146,21.204583,1411,2024-01-18 12:19:46,52.159468,2,2052,04
146,21.20457,1411,2024-01-18 12:21:46,52.159473,2,2052,04
